[TEAMS]
Galatasaray,Galatasaray (1992)
Utrecht,FC Utrecht (1992)
Groningen,FC Groningen (1992)
Heerenveen,SC Heerenveen (1992)
AZ Alkmaar,AZ Alkmaar (1992)
FC Porto,FC Porto (1992)
Benfica,SL Benfica (1992)
Sporting CP,Sporting CP (1992)
Boavista,Boavista FC (1992)
Marítimo,CD Marítimo (1992)
Braga,SC Braga (1992)
Vitória Guimarães,Vitória Guimarães (1992)
[PLAYERS]
Erling Haaland,Marco van Basten
Kylian Mbappé,Jean-Pierre Papin
Mauro Icardi,Hakan Şükür
Victor Osimhen,Tanju Çolak
Gedson Fernandes,Mehmet Özdilek
Vincent Aboubakar,Feyyaz Uçar
Rafa Silva,Metin Tekin
Dries Mertens,Tugay Kerimoğlu
Fred,Oğuz Çetin
Edin Džeko,Aykut Kocaman
Dušan Tadić,Rıdvan Dilmen
Fernando Muslera,Hayrettin Demirbaş
Dominik Livaković,Rüştü Reçber
Kevin De Bruyne,Roberto Baggio
Mohamed Salah,Hristo Stoichkov
Harry Kane,Dennis Bergkamp
Robert Lewandowski,Eric Cantona
Jude Bellingham,Michael Laudrup
Vinícius Júnior,Ruud Gullit
Rodri,Frank Rijkaard
Luka Modrić,Robert Prosinečki
Cristiano Ronaldo,Gheorghe Hagi
Lionel Messi,Diego Maradona
Martin Ødegaard,Pep Guardiola
Virgil van Dijk,Franco Baresi
Rúben Dias,Paolo Maldini
Marquinhos,Ronald Koeman
Alisson Becker,Peter Schmeichel
Thibaut Courtois,Edwin van der Sar
Ederson,Andoni Zubizarreta

